Description,Price,Rating,Reviews Count,URL,Image URL
"New Apple iPhone 12 (64GB, Blue) [Locked] + Carrier Subscription",$829.00,3.8 out of 5 stars,27,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03794152YCOF5DGVGXTG&url=%2FApple-iPhone-Locked-Carrier-Subscription%2Fdp%2FB08L5P7DYY%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Diphone%2B12%26qid%3D1609112339%26sr%3D8-1-spons%26psc%3D1&qualifier=1609112339&id=8263533695289253&widgetName=sp_atf,https://m.media-amazon.com/images/I/71ZOtNdaZCL._AC_UY218_.jpg
"New Apple iPhone 12 mini (64GB, White) [Locked] + Carrier Subscription",$729.00,3.7 out of 5 stars,20,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03781231JVICF5UY5OTA&url=%2FApple-iPhone-Locked-Carrier-Subscription%2Fdp%2FB08L5QTY1Z%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Diphone%2B12%26qid%3D1609112339%26sr%3D8-2-spons%26psc%3D1&qualifier=1609112339&id=8263533695289253&widgetName=sp_atf,https://m.media-amazon.com/images/I/71tT8J5cKuL._AC_UY218_.jpg
"Apple iPhone 11 Pro, 64GB, Space Gray - Fully Unlocked (Renewed)",$683.99,4.4 out of 5 stars,298,https://www.amazon.com/Apple-iPhone-64GB-Space-Gray/dp/B07ZPKZSSC/ref=sr_1_3?dchild=1&keywords=iphone+12&qid=1609112339&sr=8-3,https://m.media-amazon.com/images/I/41wDuEW9iZL._AC_UY218_.jpg
"New Apple iPhone 12 Pro Max (256GB, Graphite) [Locked] + Carrier Subscription","$1,199.00",3.5 out of 5 stars,28,https://www.amazon.com/Apple-iPhone-Graphite-Carrier-Subscription/dp/B08L5P9B9H/ref=sr_1_4?dchild=1&keywords=iphone+12&qid=1609112339&sr=8-4,https://m.media-amazon.com/images/I/71XXJC7V8tL._AC_UY218_.jpg
"New Apple iPhone 12 Pro (128GB, Graphite) [Locked] + Carrier Subscription",$999.00,3.5 out of 5 stars,34,https://www.amazon.com/Apple-iPhone-Graphite-Carrier-Subscription/dp/B08L5PTDTK/ref=sr_1_5?dchild=1&keywords=iphone+12&qid=1609112339&sr=8-5,https://m.media-amazon.com/images/I/71YlH-4MUQL._AC_UY218_.jpg
"Apple iPhone 11 Pro Max, 256GB, Midnight Green, Fully Unlocked (Renewed)",$875.99,4.2 out of 5 stars,368,https://www.amazon.com/Apple-iPhone-Midnight-Unlocked-Renewed/dp/B07Z4681LQ/ref=sr_1_6?dchild=1&keywords=iphone+12&qid=1609112339&sr=8-6,https://m.media-amazon.com/images/I/61GggH1hAaL._AC_UY218_.jpg
"New Apple iPhone 12 (64GB, Blue) [Locked] + Carrier Subscription",$829.00,3.8 out of 5 stars,27,https://www.amazon.com/Apple-iPhone-Locked-Carrier-Subscription/dp/B08L5P7DYY/ref=sr_1_7?dchild=1&keywords=iphone+12&qid=1609112339&sr=8-7,https://m.media-amazon.com/images/I/71ZOtNdaZCL._AC_UY218_.jpg
"Apple iPhone 11 Pro Max, 512GB, Silver - Fully Unlocked (Renewed)",$999.99,4.4 out of 5 stars,136,https://www.amazon.com/Apple-iPhone-Pro-512GB-Silver/dp/B07ZQSG7NM/ref=sr_1_8?dchild=1&keywords=iphone+12&qid=1609112339&sr=8-8,https://m.media-amazon.com/images/I/61EvV17kCBL._AC_UY218_.jpg
"Apple iPhone XR, 64GB, Red - Fully Unlocked (Renewed)",$360.00,4.5 out of 5 stars,"17,573",https://www.amazon.com/Apple-iPhone-XR-Fully-Unlocked/dp/B07P6Y8L3F/ref=sr_1_9?dchild=1&keywords=iphone+12&qid=1609112339&sr=8-9,https://m.media-amazon.com/images/I/51QG+K5RQtL._AC_UY218_.jpg
"Apple iPhone 11 Pro Max, 256GB, Fully Unlocked - Gold (Renewed)",$954.99,4.3 out of 5 stars,210,https://www.amazon.com/Apple-iPhone-256GB-Fully-Unlocked/dp/B07ZZJKZK6/ref=sr_1_10?dchild=1&keywords=iphone+12&qid=1609112339&sr=8-10,https://m.media-amazon.com/images/I/71X07lwWutL._AC_UY218_.jpg
"Apple iPhone 8, 256GB, Silver - Fully Unlocked (Renewed)",$319.00,4.3 out of 5 stars,"16,732",https://www.amazon.com/Apple-iPhone-256GB-Silver-Unlocked/dp/B084CT3TBM/ref=sr_1_11?dchild=1&keywords=iphone+12&qid=1609112339&sr=8-11,https://m.media-amazon.com/images/I/61-LFcsxvwL._AC_UY218_.jpg
"Apple iPhone XS Max, 64GB, Gold - Fully Unlocked (Renewed)",$489.99,4.5 out of 5 stars,"4,876",https://www.amazon.com/Apple-iPhone-Max-Fully-Unlocked/dp/B07KFMTWVF/ref=sr_1_12?dchild=1&keywords=iphone+12&qid=1609112339&sr=8-12,https://m.media-amazon.com/images/I/71isxv6Wd-L._AC_UY218_.jpg
"Apple iPhone XS, 256GB , Space Gray - Fully Unlocked (Renewed)",$433.00,4.3 out of 5 stars,"4,576",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256/dp/B07TJBCC7H/ref=sr_1_13?dchild=1&keywords=iphone+12&qid=1609112339&sr=8-13,https://m.media-amazon.com/images/I/71XeQzRDyML._AC_UY218_.jpg
"New Apple iPhone 12 mini (64GB, Blue) [Locked] + Carrier Subscription",$729.00,3.7 out of 5 stars,20,https://www.amazon.com/Apple-iPhone-Locked-Carrier-Subscription/dp/B08L5P8HPN/ref=sr_1_14?dchild=1&keywords=iphone+12&qid=1609112339&sr=8-14,https://m.media-amazon.com/images/I/71sNNCTfMuL._AC_UY218_.jpg
